Explanations,,,,,,,,,,,,,General study info and demographics,,,,,,,,,,,,,,,Design,,,,,Variables,,,,,,Conditions,,,,,,,,,,,,,,"If DV is a scale (If has M, SD, N info for ANOVA/t-test), if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,,"If DV is counts of participants, if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,If DV is proportions,,,,,,,,,,,,,,,,,,,,,,,,"* SUMMARY section - Converting all effects to Cohen's d. REMEMBER - this is ONLY about the contrast for the effect you care about, NOT the general effect",,,,,,,,,,,,,Moderators,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,,,,,Statistics,,,,,,,,,,,,,,,,,,,Descriptives,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,Statistics,,,,,,,,,,,,,,,,,,,,If DV was scale,,,,If DV was counts,,If DV was proportions,,,,,,,,,,,,,,,,,,,,,,
,Ball (2004),20,1,1,2,7,"Scenario 2 ""Jane""  - Falling Equipment, DV: victim responsibility",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim responsibility,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",4 - self blame,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,2.24,64,p<.05,Two tail p,yes,0.028571,,0.39598,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39598,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.39598,"Normal Unavailable. Jane has walked to work each day for the past 2 years. She is very much a creature of habit - always taking the same route to work. One day, on her regular route to the office, she passed some building construction. As she walked along thepavement,apieceofscaffoldingfellfromtheconstructionand struck her on the back. Jane sustained minor injuries and as a consequence of the incident was detained in hospital for 4 days. Abnormal Available. Jane has walked to work each day for the past 2 years. She is very much a creature of habit- alway staking the same route to work.Oneday, however, she decided that she wanted to pass through a new park that had recently opened, and took a different route to the office. On the way she passed some building construction. As she walked along the pavement, a piece of scaffolding fell fi-om the construction and struck her on the back. Jane sustained minor injuries and as a consequence of the incident was detained in hospital for 4 days.",1,walking home,1,,1,"she decided that she wanted to pass through a new park that had recently opened, and took a different route to the office",3,3,victim responsibility,1,getting hit by a piece of scaffolding is exceptional,1,getting hit by a piece of scaffolding,certainty (always/never/each day),"""Jane has walked to work each day for the past 2 years"""
,Ball (2004),20,1,1,3,1,"Scenario 3 ""Mike"" - Mugging, DV: incident seriousness",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,incident seriousness,"questions regarding the seriousness of the incident (from ""not at all"" to ""very"") ",6 - other,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.34,64,,,,,,0.236881,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236881,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.236881,"Normal Unavailable. One Saturday evening, Mike was out with some fnends in a bar near the centre of town. At about 10.30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. On this particular evening, Mike took his usual route. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police. Abnormal Available. One Saturday evening, Mike was out with some friends in a bar near the centre of town. At about 10:30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police.",1,walking home,1,,1,"""However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. """,3,3,incident seriousness,1,getting mugged is exceptional ,1,getting mugged - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment."""
,Ball (2004),20,1,1,3,2,"Scenario 3 ""Mike"" - Mugging, DV: offender punishment",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,offender punishment,"Severity of punishment for the offender (from ""slight"" to ""severe"").",7 - offender punishment,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,2.06,64,p<.05,Two tail p,yes,0.04347,,0.36416,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36416,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.36416,"Normal Unavailable. One Saturday evening, Mike was out with some fnends in a bar near the centre of town. At about 10.30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. On this particular evening, Mike took his usual route. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police. Abnormal Available. One Saturday evening, Mike was out with some friends in a bar near the centre of town. At about 10:30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police.",1,walking home,1,,1,"""However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. """,3,3,offender punishment,1,getting mugged is exceptional ,1,getting mugged - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment."""
,Ball (2004),20,1,1,3,3,"Scenario 3 ""Mike"" - Mugging, DV: incident avoidability",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,incident avoidability,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",5 - avoidability,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,0.88,64,,,,,,0.155563,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155563,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.155563,"Normal Unavailable. One Saturday evening, Mike was out with some fnends in a bar near the centre of town. At about 10.30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. On this particular evening, Mike took his usual route. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police. Abnormal Available. One Saturday evening, Mike was out with some friends in a bar near the centre of town. At about 10:30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police.",1,walking home,1,,1,"""However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. """,3,3,incident avoidability,1,getting mugged is exceptional ,1,getting mugged - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment."""
,Ball (2004),20,1,1,3,5,"Scenario 3 ""Mike"" - Mugging, DV: victim fault",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim fault,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",4 - self blame,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.45,64,,,,,,0.256326,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256326,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.256326,"Normal Unavailable. One Saturday evening, Mike was out with some fnends in a bar near the centre of town. At about 10.30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. On this particular evening, Mike took his usual route. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police. Abnormal Available. One Saturday evening, Mike was out with some friends in a bar near the centre of town. At about 10:30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police.",1,walking home,1,,1,"""However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. """,3,3,victim fault,1,getting mugged is exceptional ,1,getting mugged - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment."""
,Ball (2004),20,1,1,3,6,"Scenario 3 ""Mike"" - Mugging, DV: victim responsibility",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim responsibility,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",4 - self blame,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.41,64,,,,,,0.249255,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249255,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.249255,"Normal Unavailable. One Saturday evening, Mike was out with some fnends in a bar near the centre of town. At about 10.30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. On this particular evening, Mike took his usual route. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police. Abnormal Available. One Saturday evening, Mike was out with some friends in a bar near the centre of town. At about 10:30 p.m., he left the bar and walked home alone. Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment. However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. While walking home, Mike was mugged. Although the mugger fled the scene of the crime, he was later picked up and charged by the police.",1,walking home,1,,1,"""However, on this particular evening, Mike decided he wanted to walk past a new movie theatre and see what was playing the coming weekend, so he took a different route home. """,3,3,victim responsibility,1,getting mugged is exceptional ,1,getting mugged - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Mike is very much a creature of habit - always taking the same 20-minute route from the centre of town to his apartment."""
,Ball (2004),20,1,1,4,1,"Scenario 4 ""Tom"" - Convenience Store Shooting, DV: victim compensation",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,Person visits a supermarket that he never visits,person goes to the supermarket he regularly visits,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim compensation,"The convenience store shooting scenario asked simply how much monetary compensation the victim deserved, on a numerical 11-point scale (from ""$0""to ""$1.7 million""), with participants being told the typical award is $852,000",3 - compensation,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.08,64,,,,,,0.190919,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.190919,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.190919,"Normal Unavailable.Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he usually frequented. Abnormal Available. Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.",1,going shopping,1,,1,"""On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.""",3,3,victim compensation,1,losing use of right arm is exceptional,1,loosing the use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""There are two convenience stores located near Tom's house, one of which he frequented more than the other."""
,Ball (2004),20,1,1,4,2,"Scenario 4 ""Tom"" - Convenience Store Shooting, DV: offender punishment",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,Person visits a supermarket that he never visits,person goes to the supermarket he regularly visits,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,offender punishment,"Following each scenario were a series of questions, starting with the original questions asked in the source studies, typically concerning compensation and punishment. The questions all retained the original scales, with most being measured on a numerical 9-point scale",7 - offender punishment,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.33,64,,,,,,0.235113,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235113,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.235113,"Normal Unavailable.Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he usually frequented. Abnormal Available. Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.",1,going shopping,1,,1,"""On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.""",3,3,offender punishment,1,losing use of right arm is exceptional,1,loosing the use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""There are two convenience stores located near Tom's house, one of which he frequented more than the other."""
,Ball (2004),20,1,1,4,3,"Scenario 4 ""Tom"" - Convenience Store Shooting, DV: incident avoidability",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,Person visits a supermarket that he never visits,person goes to the supermarket he regularly visits,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,incident avoidability,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",5 - avoidability,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.6,64,,,,,,0.282843,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282843,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.282843,"Normal Unavailable.Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he usually frequented. Abnormal Available. Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.",1,going shopping,1,,1,"""On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.""",3,3,incident avoidability,1,losing use of right arm is exceptional,1,loosing the use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""There are two convenience stores located near Tom's house, one of which he frequented more than the other."""
,Ball (2004),20,1,1,4,5,"Scenario 4 ""Tom"" - Convenience Store Shooting, DV: victim fault",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,Person visits a supermarket that he never visits,person goes to the supermarket he regularly visits,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim fault,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",4 - self blame,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,0.49,64,,,,,,0.086621,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086621,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.086621,"Normal Unavailable.Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he usually frequented. Abnormal Available. Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.",1,going shopping,1,,1,"""On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.""",3,3,victim fault,1,losing use of right arm is exceptional,1,loosing the use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""There are two convenience stores located near Tom's house, one of which he frequented more than the other."""
,Ball (2004),20,1,1,4,6,"Scenario 4 ""Tom"" - Convenience Store Shooting, DV: victim responsibility",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,unregular vs. regular behavior,,Manipulated,Person visits a supermarket that he never visits vs. person goes to the supermarket he regularly visits,,,Person visits a supermarket that he never visits,person goes to the supermarket he regularly visits,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,victim responsibility,"The original questions were followed by a common series of questions inspired by those used in Turley et al. (19 9 9 , regarding avoidance, sympathy, victim fault, and victim responsibility (all using a numerical 9-point scale ranging fiom ""not at all"" to ""very much"")",4 - self blame,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,1.74,64,p<.10,Two tail p,yes,0.086666,,0.307591,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307591,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,0.307591,"Normal Unavailable.Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he usually frequented. Abnormal Available. Tom has lost the use of his right arm as a result of a gunshot wound. He was shot when he walked in on a robbery occurring in a convenience store in his neighborhood. There are two convenience stores located near Tom's house, one of which he frequented more than the other. On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.",1,going shopping,1,,1,"""On the night he was shot he had gone to the store that he rarely frequented, to look for any beneficial sales or discounts.""",3,3,victim responsibility,1,losing use of right arm is exceptional,1,loosing the use of an arm - untolerable/ long-term/lasting impact or involves clear physical or mental damage,high frequency (often/regularly/most times/habit,"""There are two convenience stores located near Tom's house, one of which he frequented more than the other."""
,Ball (2004),20,1,1,5,1,"Scenario 5 ""Sarah"" - Rape: offender punishment",Lucas,8/2/2017,Completed,Gilad,23/8/2017,No,Laboratory,Students,Canada,67,67,,21.86,4.31,44,19,4,,,,3,2x2,1x2,"The original study used a design with factors, normal vs. abnormal x alternative decision option available vs. non available, due to limitied participants resources they dropped a abnormal/unavailable condition leading to 3 conditions; In this meta anaylsis we only use the contrasts between normal unavailable (NU) and abnormal available (AA)",Within,exception vs. routine,,Manipulated,walking home an exceptional route vs. walking home a routine route,,,walking home an exceptional route ,walking home a routine route,Yes,only used contrasts of normal unavailabe and normal available conditions,67,67,Ns reported in the article,,offender punishment,"A final question asked participants for a recommended punishment for the rapist, on a numerical 21-point scale ranging from ""0 years"" to ""20 years."" ",7 - offender punishment,No,No,Yes,,,,,,,,,,"p.45, Table 2",,,-0.35,64,,,,,,-0.06187,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06187,,,,,"ran in R batch, paired sample covertion DF=64 esc_t(t = dataset, grp1n = 64,  grp2n = 64)",,No,,-0.06187,"Normal Unavailable. Sarah works as a secretary at a local company. She has walked the same route home each day for the past two years. On this occasion, she took her usual route. As she was walking home, a man approached her from behind, grabbed her around the neck, threw her to the ground, and raped her. Abnormal Available. Sarah works as a secretary at a local company. She has walked the same route home each day for the past two years. On this occasion, however, she decided she wanted to pass by a friend's house to see if she was in, and took a different route home through an unfamiliar section of town. As she was walking home, a man approached her from behind, grabbed her around the neck, threw her to the ground, and raped her.",1,walking home,1,,1,"""On this occasion, however, she decided she wanted to pass by a friend's house to see if she was in, and took a different route home through an unfamiliar section of town.""",3,3,offender punishment,1,rape is exceptional,1,rape - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""She has walked the same route home each day for the past two years"""
